uid,p,r,i,n,t,Shift,(
21916070.0,782.2009345794393,239.45360051405328,271.099173553719,235.515625,271.46220930232556,646.88623853211,279.75431034482756
21916070.0,816.912,239.22535211267606,283.0719597760035,250.7084745762712,284.0272952853598,656.9902755267423,293.5992647058824
21916070.0,881.752523364486,238.72979233446128,312.6417452313089,230.30389523169913,337.1760934279826,422.6569317382125,223.8396820139119
21916070.0,875.7449088960343,291.16408472968703,311.7488459924465,216.7234558074912,332.61807835412566,431.32368315239245,228.22176526415691
21916070.0,862.6564533118925,243.63059701492537,280.3778337531486,245.70967741935485,281.5118733509235,654.7038917089678,289.72265625
21916070.0,873.3010845986985,294.74798619102415,314.61270648030495,221.44340654430295,338.02659574468083,423.7949002217295,217.78204144282427
21916070.0,788.7329192546584,229.84444444444443,314.3566431168048,226.20430107526883,258.5753968253968,602.6961722488038,269.60818713450294
21916070.0,875.1438848920864,291.75429662635264,310.62552831783603,240.2955478335794,333.2067519858782,430.86094316807737,226.77295918367346
21916070.0,858.8223350253808,274.70991797166295,280.20867869332034,225.38299473288185,282.8458426488717,427.2748403994107,229.28721017202693
21916070.0,876.5898256848096,290.73024866226,312.28440175401965,233.46148929370406,332.0787984327384,438.5923006494363,229.02423670129053
21916070.0,883.8586466165414,294.56910299003323,312.28470691934774,230.3104961187985,337.81864211737627,422.30645350887505,219.67056482138105
